PerformanceDate,E-EM,E-GSC,E-CLC,E-US,E-CSC,E-IE,D-CB,A-CMM
2023-09-15,0.003686972,-0.001734898,-0.000646076,-0.007743281,-0.006100862,0.003073673,-0.002988585,0.000139670
2023-09-18,-0.009740795,-0.009159153,-0.002948124,-0.000281211,0.001781882,-0.009497351,-0.000602906,0.000410010
2023-09-19,-0.008826886,-0.009523451,-0.012041933,-0.007399534,-0.009685853,-0.008092584,-0.006891108,0.000135960
2023-09-20,-0.002204672,0.005478712,-0.000884537,-0.005197805,-0.001847251,0.004163232,-0.000617472,0.000136600
2023-09-21,-0.011656031,-0.007026266,-0.017177712,-0.008997914,-0.014795258,-0.012703647,-0.005307185,0.000136490
2023-09-22,0.002577764,-0.004043821,-0.000125185,-0.004225491,0.002259838,-0.006159553,0.002653130,0.000137360
2023-09-25,-0.004795786,-0.008063853,-0.000095766,0.003923132,-0.003504204,-0.005812738,-0.006560234,0.000411280
2023-09-26,-0.006432155,-0.010797759,-0.008284128,-0.013177595,-0.016831980,-0.002928452,-0.000356618,0.000136540
2023-09-27,0.004857362,0.004230758,-0.004839195,0.002228632,-0.002970798,-0.002388729,-0.003771543,0.000136570
2023-09-28,-0.002845209,0.004709762,0.011042960,0.004498891,0.007513353,0.006926909,0.001684675,0.000136750
2023-09-29,0.007783830,0.007306705,-0.004966527,-0.003396714,-0.003472156,0.002933703,0.003254794,0.000273740
2023-10-02,0.004632281,-0.003041821,-0.011538239,0.007444811,-0.008716273,-0.005190362,0.000199605,0.000271760
2023-10-03,-0.009514055,-0.010777862,-0.006080296,-0.003372988,-0.007949385,-0.004666935,-0.013547877,0.000136540
2023-10-04,-0.002751102,0.009173551,0.004457959,0.015789128,0.006111550,0.004986028,0.006774417,0.000135860
2023-10-05,-0.002755227,0.001478902,0.006559774,-0.004497755,0.004310735,0.005547917,0.001326214,0.000136110
2023-10-06,0.004656812,0.007805291,0.003545881,0.008951584,0.005132884,0.004953265,-0.000728027,0.000136140
