PerformanceDate,E-EM,E-GSC,E-CLC,E-US,E-CSC,E-IE,D-CB,A-CMM
2018-10-25,10.5188,15.2454,65.7331,48.3835,78.4003,55.4028,11.7239,10
2018-10-26,10.4618,15.2151,65.6144,47.909,77.9069,55.3743,11.7701,10
2018-10-29,10.3667,15.2899,65.1028,47.9424,76.997,55.6804,11.7733,10
2018-10-30,10.3281,15.2832,65.9606,48.6831,77.67,55.8648,11.7279,10
2018-10-31,10.5353,15.4614,66.4007,49.2316,78.6009,56.8064,11.6656,10
2018-11-01,10.6507,15.7051,66.8299,49.4863,79.4924,57.1845,11.6766,10
2018-11-02,10.8757,15.8682,66.6749,49.5207,78.3341,57.6968,11.6438,10
2018-11-05,10.842,15.7767,67.0383,49.7206,78.8734,57.3825,11.6619,10
2018-11-06,10.8806,15.8598,67.2398,50.1794,79.1856,57.6017,11.6521,10
2018-11-07,10.9215,16.0069,67.1432,50.8614,79.68,58.1864,11.6626,10
2018-11-08,10.8652,16.0059,67.1972,51.171,78.8958,58.1678,11.6514,10
2018-11-09,10.8164,15.9425,67.0274,51.3248,78.073,58.1537,11.6769,10
2018-11-12,10.7547,15.6564,66.7716,50.4612,76.6409,57.5463,11.6798,10
2018-11-13,10.7851,15.7367,66.8052,50.4923,75.7041,57.9652,11.7059,10
2018-11-14,10.8309,15.6379,66.6874,50.3992,75.3112,57.9471,11.7271,10
2018-11-15,10.9423,15.5313,66.5944,50.905,75.0061,57.5824,11.7534,10
2018-11-16,10.9467,15.5608,66.7772,50.9858,75.3374,57.8826,11.7636,10
2018-11-19,10.9767,15.5757,66.4095,50.2981,74.5421,57.6728,11.7658,10
2018-11-20,10.8422,15.3442,65.5068,49.7466,73.7094,57.043,11.7631,10
2018-11-21,10.9198,15.3797,66.3489,50.0285,74.1424,57.4315,11.7537,10
2018-11-22,10.9458,15.335,66.3726,49.7656,74.1723,57.0873,11.7469,10
2018-11-23,10.8804,15.2772,66.1025,49.6653,74.1031,57.1772,11.765,10
2018-11-26,10.9793,15.3288,66.3069,50.3008,74.1211,57.6309,11.7532,10
2018-11-27,11.06,15.3881,66.003,50.6146,73.708,57.7809,11.7686,10
2018-11-28,11.1681,15.5083,66.7864,51.6972,74.7144,58.144,11.7629,10
2018-11-29,11.2066,15.5669,66.972,51.4226,74.9922,58.3703,11.773,10
2018-11-30,11.2106,15.6112,67.076,51.868,75.4693,58.097,11.7603,10
2018-12-03,11.2963,15.6725,67.186,51.8845,75.8798,58.4839,11.7912,10
2018-12-04,11.3003,15.4889,66.1572,50.4253,74.4533,57.9792,11.8272,10
2018-12-05,11.3626,15.5772,66.6344,51.1298,74.1931,58.1492,11.8544,10
2018-12-06,11.2234,15.3773,65.6511,51.0965,73.7685,57.1513,11.8673,10
2018-12-07,11.1454,15.2869,65.029,49.6389,72.8722,57.03,11.8789,10
2018-12-10,11.049,15.1373,64.796,50.0536,71.9264,56.4331,11.8872,10
2018-12-11,11.1076,15.2142,64.5034,50.0656,72.2983,56.8123,11.8746,10
2018-12-12,11.1765,15.3502,64.9172,50.1299,72.8704,57.5018,11.8357,10
2018-12-13,11.2415,15.3448,64.7406,50.032,72.5854,57.5045,11.8052,10
2018-12-14,11.173,15.287,63.9802,49.3464,71.4931,56.9514,11.8408,10
2018-12-17,11.1176,15.1701,63.0292,48.4684,70.2713,56.7505,11.8795,10
2018-12-18,11.0989,15.1105,63.3305,48.7274,70.5292,56.7609,11.9166,10
2018-12-19,10.8004,13.6365,60.9045,45.9926,65.9961,53.1036,11.9457,10
2018-12-20,10.7991,13.5457,60.1463,45.6689,65.4616,52.9792,11.9181,10
2018-12-21,10.8334,13.4882,59.2387,45.0811,64.7843,52.8614,11.8864,10
2018-12-24,10.8042,13.5471,58.6006,44.097,64.3891,52.8421,11.9123,10
2018-12-27,10.9068,13.5994,60.0906,46.6064,65.4515,52.8274,11.9117,10
2018-12-28,10.9243,13.7251,60.4951,46.3856,66.3861,53.3999,11.9328,10
2018-12-31,10.9852,13.8272,60.9116,46.8554,67.1631,53.8766,11.9203,10
2019-01-02,10.9054,13.6935,60.8713,46.5124,66.9976,53.0751,11.9536,10
2019-01-03,10.7647,13.5139,60.2786,45.1922,66.2556,52.2278,12.0221,10
2019-01-04,10.7866,13.6158,61.1962,46.2684,67.1583,53.1123,11.9642,10
2019-01-07,10.8138,13.6897,61.7525,46.1259,68.1001,53.2247,11.9521,10
2019-01-08,10.7965,13.805,62.1654,46.6052,68.7998,53.4502,11.9442,10
2019-01-09,10.8656,14.0201,62.9391,46.4055,69.6843,53.8118,11.9379,10
2019-01-10,10.932,14.0158,63.3043,46.7643,69.895,53.8018,11.9385,10
2019-01-11,11.0162,14.0515,63.3761,46.8037,70.2735,53.9599,11.9591,10
2019-01-14,11.004,13.9923,63.6237,46.7175,70.3221,53.7212,11.9541,10
2019-01-15,11.0694,13.9505,63.9553,47.1036,70.8647,53.8042,11.942,10
2019-01-16,11.1103,13.9891,64.1833,47.1258,70.744,53.9987,11.9311,10
2019-01-17,11.1647,14.035,64.6683,47.6482,70.9678,54.3312,11.9371,10
2019-01-18,11.2198,14.117,65.1335,48.1798,71.4878,54.7431,11.9233,10
2019-01-21,11.2313,14.1562,65.2085,48.287,72.0268,54.9976,11.9425,10
2019-01-22,11.1934,14.1822,64.6529,47.9515,71.5617,54.9447,11.9812,10
2019-01-23,11.2203,14.2638,64.6093,48.4572,71.8569,55.0356,11.9803,10
2019-01-24,11.2843,14.2293,64.7688,48.3036,71.9744,54.7998,12.0112,10
2019-01-25,11.3017,14.2847,64.9168,48.298,72.0179,54.9529,11.9891,10
2019-01-28,11.2947,14.2581,64.8581,47.9961,71.6943,54.813,12.0001,10
2019-01-29,11.2883,14.2697,65.1303,47.9388,71.6494,55.0481,12.0175,10
2019-01-30,11.2349,14.222,65.1795,48.1848,71.9881,54.8406,12.0372,10
2019-01-31,11.3306,14.271,65.3525,48.4399,72.1279,54.8869,12.045,10
2019-02-01,11.3018,14.2472,65.2969,48.4739,72.1721,55.0273,11.9967,10
2019-02-04,11.3511,14.3385,65.6198,48.8719,72.0468,55.2985,11.9966,10
2019-02-05,11.3804,14.4105,66.1014,49.0686,72.2742,55.831,12.0189,10
2019-02-06,11.3977,14.4535,66.3055,49.142,72.2719,56.0415,12.0253,10
2019-02-07,11.4379,14.4548,66.4005,49.2214,71.7623,55.878,12.0585,10
2019-02-08,11.4293,14.3147,66.1502,49.3456,71.872,55.4334,12.0564,10
2019-02-11,11.4419,14.4013,65.8654,49.5103,73.2967,55.7085,12.0397,10
2019-02-12,11.4288,14.3936,66.3883,49.8789,74.1085,55.7859,12.0351,10
2019-02-13,11.4598,14.4278,66.2803,49.9436,74.2072,55.949,12.0308,10
2019-02-14,11.5169,14.5225,66.8631,50.006,74.9025,56.0892,12.0738,10
2019-02-15,11.3995,14.5716,67.5053,50.3699,74.4613,56.0683,12.0681,10
2019-02-19,11.4288,14.6868,67.8334,50.232,74.5044,56.2375,12.0822,10
